trajet_id,date,train_id,gare_depart_id,gare_arrivee_id,heure_depart_prevue,heure_depart_reelle,retard_minutes,statut,nb_passagers,prix_moyen_eur
J000038,2025-10-07,T028,G06,G07,20:45,21:25,40,Retarde,216,49.93
J000039,2026-06-29,T006,G09,G12,14:18,14:25,7,Retarde,309,65.86
J000040,2026-02-22,T018,G01,G08,07:21,07:21,0,A l'heure,538,34.2
J000041,2025-11-25,T028,G06,G07,10:45,11:02,17,Retarde,226,56.2
J000042,2026-06-21,T009,G14,G08,14:24,14:24,0,A l'heure,442,71.9
J000043,2026-08-02,T035,G09,G11,07:54,07:54,0,A l'heure,182,32.06
J000044,2026-08-16,T039,G11,G09,08:45,08:45,0,A l'heure,135,32.23
J000045,2025-09-19,T024,G02,G04,06:24,06:24,0,A l'heure,234,44.57
J000046,2026-06-06,T030,G09,G11,21:45,21:45,0,A l'heure,138,18.54
J000047,2026-02-26,T004,G12,G02,16:42,17:04,22,Retarde,313,91.65
J000048,2026-01-11,T032,G10,G06,14:18,14:18,0,A l'heure,191,23.81
J000049,2025-11-04,T030,G06,G11,14:54,14:54,0,A l'heure,127,28.61
J000050,2026-08-14,T034,G14,G01,12:06,12:33,27,Retarde,180,24.28
J000051,2026-05-22,T019,G01,G08,19:21,19:21,0,A l'heure,409,42.97
J000052,2025-10-11,T022,G05,G12,12:54,13:00,6,Retarde,523,51.5
J000053,2026-04-16,T027,G10,G01,06:36,06:36,0,A l'heure,193,54.01
J000054,2026-07-30,T001,G15,G13,10:36,,0,Annule,359,83.51
J000055,2025-12-15,T010,G14,G13,20:15,20:34,19,Retarde,379,95.57
J000056,2025-11-13,T019,G07,G01,07:06,07:06,0,A l'heure,376,41.47
J000057,2025-09-20,T030,G07,G03,08:00,08:00,0,A l'heure,112,17.46
J000058,2025-09-16,T001,G04,G02,08:48,08:48,0,A l'heure,249,61.54
J000059,2026-03-18,T019,G06,G15,19:15,19:15,0,A l'heure,493,29.15
J000060,2026-05-14,T022,G09,G07,09:36,09:37,1,Retarde,489,33.02
J000061,2026-08-12,T006,G02,G15,10:06,10:06,0,A l'heure,293,73.41
J000062,2025-11-19,T034,G03,G05,22:30,22:30,0,A l'heure,117,21.23
J000063,2026-01-07,T023,G04,G03,15:30,15:31,1,Retarde,185,47.09
J000064,2026-04-17,T022,G03,G10,14:18,14:18,0,A l'heure,376,43.03
J000065,2025-12-08,T021,G12,G08,19:15,19:23,8,Retarde,431,41.26
J000066,2025-12-12,T004,G13,G05,15:18,15:18,0,A l'heure,155,52.76
J000067,2026-01-30,T035,G07,G13,11:42,11:42,0,A l'heure,33,28.2
J000068,2026-06-09,T018,G03,G02,12:18,12:34,16,Retarde,377,22.64
J000069,2026-02-18,T022,G10,G04,07:42,07:50,8,Retarde,349,32.44
J000070,2025-09-30,T014,G13,G03,20:42,20:42,0,A l'heure,268,61.41
J000071,2026-04-19,T002,G04,G14,09:12,09:12,0,A l'heure,184,64.83
J000072,2026-07-05,T034,G15,G05,20:36,20:36,0,A l'heure,153,17.52
J000073,2026-07-19,T022,G11,G06,11:54,11:54,0,A l'heure,634,38.76
J000074,2026-04-03,T013,G12,G07,07:48,07:48,0,A l'heure,256,57.46
J000075,2026-04-18,T037,G01,G06,16:21,16:21,0,A l'heure,153,31.92
J000076,2025-12-22,T017,G11,G03,07:30,07:30,0,A l'heure,282,36.6
J000077,2026-07-18,T025,G10,G15,13:54,14:28,34,Retarde,236,65.26
J000078,2026-05-26,T021,G02,G11,19:21,19:21,0,A l'heure,520,44.45
J000079,2026-08-21,T030,G03,G05,18:36,18:36,0,A l'heure,113,21.45
J000080,2026-02-17,T035,G05,G14,10:54,10:54,0,A l'heure,169,22.4
J000081,2026-02-10,T037,G13,G08,19:15,19:15,0,A l'heure,93,24.12
J000082,2026-06-10,T027,G01,G12,05:48,06:04,16,Retarde,170,49.31
J000083,2026-08-14,T001,G13,G04,14:15,14:15,0,A l'heure,264,86.92
J000084,2026-07-09,T017,G04,G10,14:18,14:27,9,Retarde,338,28.56
J000085,2026-05-06,T008,G08,G14,06:36,06:36,0,A l'heure,452,67.41
J000086,2025-10-20,T022,G12,G05,07:30,07:54,24,Retarde,383,42.9
J000087,2025-10-08,T006,G08,G04,11:06,11:06,0,A l'heure,229,85.0
J000088,2026-02-01,T018,G14,G01,20:54,21:14,20,Retarde,448,31.82
J000089,2025-12-21,T037,G08,G05,14:54,14:54,0,A l'heure,134,20.56
J000090,2025-10-27,T008,G05,G11,11:48,11:48,0,A l'heure,325,92.76
J000091,2026-08-13,T020,G09,G07,22:30,23:41,71,Fortement retarde,322,34.99
J000092,2026-04-27,T018,G05,G10,10:54,10:54,0,A l'heure,458,43.9
J000093,2025-09-19,T002,G02,G11,09:30,09:30,0,A l'heure,380,54.65
J000094,2026-01-19,T026,G13,G01,18:00,18:08,8,Retarde,191,43.06
J000095,2026-01-30,T005,G01,G03,20:12,20:12,0,A l'heure,176,74.43
J000096,2026-07-05,T019,G01,G09,14:15,14:15,0,A l'heure,314,43.36
J000097,2025-11-30,T014,G05,G04,21:24,21:24,0,A l'heure,371,62.63
J000098,2026-08-02,T001,G05,G01,06:00,06:00,0,A l'heure,243,96.88
J000099,2025-11-24,T023,G04,G07,15:36,15:36,0,A l'heure,297,35.35
J000100,2026-07-10,T040,G12,G14,10:15,10:31,16,Retarde,186,19.61
J000101,2026-03-20,T013,G13,G11,19:06,19:06,0,A l'heure,352,56.06
J000102,2026-01-05,T030,G13,G09,11:00,11:00,0,A l'heure,183,25.04
J000103,2025-10-24,T036,G05,G12,15:15,15:15,0,A l'heure,140,21.71
J000104,2025-09-02,T011,G02,G15,21:00,21:01,1,Retarde,314,97.78
J000105,2025-11-06,T025,G09,G06,09:42,09:42,0,A l'heure,223,55.82
J000106,2026-04-06,T003,G03,G01,07:15,07:16,1,Retarde,284,72.6
J000107,2026-06-06,T030,G11,G15,15:15,15:27,12,Retarde,151,29.74
J000108,2026-01-27,T018,G11,G06,21:06,21:14,8,Retarde,393,43.94
J000109,2026-08-02,T008,G04,G03,20:54,20:54,0,A l'heure,224,112.33
J000110,2026-03-08,T017,G10,G13,06:42,07:02,20,Retarde,349,49.05
J000111,2026-03-03,T032,G10,G13,06:00,06:00,0,A l'heure,190,19.83
J000112,2026-07-21,T038,G03,G13,16:21,16:21,0,A l'heure,155,20.29
J000113,2026-03-04,T038,G01,G10,13:00,13:00,0,A l'heure,128,16.75
J000114,2026-01-02,T002,G03,G05,05:54,05:54,0,A l'heure,291,97.81
J000115,2026-08-23,T009,G15,G05,08:24,08:24,0,A l'heure,388,88.59
J000116,2026-04-27,T010,G08,G02,17:24,17:24,0,A l'heure,278,91.77
J000117,2025-10-09,T037,G05,G14,22:30,22:31,1,Retarde,168,22.36
J000118,2026-07-06,T033,G07,G14,18:36,18:36,0,A l'heure,128,16.71
J000119,2026-03-11,T024,G13,G02,18:42,18:42,0,A l'heure,208,53.88
J000120,2026-08-10,T025,G01,G05,12:06,12:08,2,Retarde,146,35.86
J000121,2025-11-07,T018,G07,G10,09:48,10:25,37,Retarde,418,27.96
J000122,2025-10-29,T012,G05,G10,05:54,06:14,20,Retarde,439,79.55
J000123,2026-01-10,T018,G06,G09,07:18,07:38,20,Retarde,485,40.04
J000124,2025-12-02,T007,G15,G02,20:00,20:00,0,A l'heure,363,83.62
J000125,2026-03-12,T017,G02,G07,14:36,14:47,11,Retarde,203,25.82
J000126,2026-01-03,T028,G03,G13,15:00,15:00,0,A l'heure,350,61.21
J000127,2025-11-16,T009,G09,G12,21:24,,0,Annule,262,76.6
J000128,2026-02-15,T016,G14,G07,19:06,19:06,0,A l'heure,477,49.51
J000129,2026-05-21,T030,G05,G10,13:15,13:15,0,A l'heure,142,19.34
J000130,2026-05-06,T004,G09,G10,22:45,22:45,0,A l'heure,321,90.98
J000131,2026-06-02,T022,G15,G04,16:12,16:22,10,Retarde,357,34.98
J000132,2026-03-05,T024,G05,G03,18:48,18:48,0,A l'heure,164,42.81
J000133,2026-06-29,T006,G15,G07,06:18,06:18,0,A l'heure,324,68.98
J000134,2026-06-12,T007,G13,G10,21:48,21:48,0,A l'heure,299,66.31
J000135,2025-12-12,T012,G03,G11,17:48,17:48,0,A l'heure,134,101.55
J000136,2025-12-03,T030,G13,G09,10:36,10:36,0,A l'heure,134,24.27
J000137,2026-05-14,T017,G08,G01,20:54,20:54,0,A l'heure,520,29.62
J000138,2026-02-26,T029,G09,G13,12:36,12:36,0,A l'heure,109,27.7
J000139,2025-09-08,T040,G05,G13,18:54,18:54,0,A l'heure,82,17.86
J000140,2025-12-15,T026,G11,G10,10:15,10:19,4,Retarde,179,56.56
J000141,2025-09-15,T001,G03,G08,11:21,11:26,5,Retarde,210,72.28
J000142,2025-11-10,T012,G12,G07,22:12,22:12,0,A l'heure,250,103.0
J000143,2026-04-03,T006,G09,G02,19:15,19:19,4,Retarde,177,61.17
J000144,2026-03-21,T021,G03,G04,09:24,09:32,8,Retarde,573,28.21
J000145,2025-12-26,T040,G11,G10,10:15,10:15,0,A l'heure,144,19.49
J000146,2026-07-01,T028,G07,G05,21:45,21:45,0,A l'heure,281,54.76
J000147,2025-12-07,T036,G08,G03,07:30,07:30,0,A l'heure,170,17.68
J000148,2025-09-01,T010,G08,G13,06:21,06:22,1,Retarde,431,60.74
J000149,2025-12-07,T035,G03,G01,19:30,19:31,1,Retarde,200,20.82
J000150,2026-03-04,T009,G08,G05,14:42,14:42,0,A l'heure,142,62.84
J000151,2026-06-05,T005,G10,G12,06:18,06:18,0,A l'heure,309,103.5
J000152,2026-04-27,T040,G13,G03,08:21,08:21,0,A l'heure,176,26.97
J000153,2026-02-20,T009,G07,G03,16:54,17:02,8,Retarde,483,88.95
J000154,2025-09-19,T022,G07,G05,21:30,21:30,0,A l'heure,272,39.38
J000155,2025-10-28,T023,G13,G02,11:42,11:42,0,A l'heure,247,50.97
J000156,2025-09-01,T015,G13,G04,05:12,05:30,18,Retarde,354,32.93
J000157,2026-02-21,T038,G12,G08,06:18,06:18,0,A l'heure,127,20.11
J000158,2025-11-15,T017,G14,G04,06:21,06:21,0,A l'heure,394,34.01
J000159,2026-03-11,T003,G06,G05,11:18,11:18,0,A l'heure,281,100.34
J000160,2025-10-10,T031,G11,G04,05:06,05:06,0,A l'heure,171,25.26
J000161,2025-10-23,T022,G02,G13,22:21,22:21,0,A l'heure,312,35.32
J000162,2025-11-02,T037,G01,G14,19:54,19:54,0,A l'heure,83,22.86
J000163,2026-02-19,T024,G12,G06,07:36,07:36,0,A l'heure,270,48.32
J000164,2026-01-28,T027,G09,G05,12:21,12:32,11,Retarde,193,40.41
J000165,2026-01-19,T023,G04,G07,13:15,13:37,22,Retarde,200,33.28
J000166,2026-05-22,T021,G05,G10,22:21,22:21,0,A l'heure,363,28.17
J000167,2025-11-06,T038,G08,G13,15:06,15:06,0,A l'heure,115,27.7
J000168,2025-09-02,T040,G10,G14,16:00,16:00,0,A l'heure,120,25.11
J000169,2025-11-14,T020,G13,G03,13:21,13:25,4,Retarde,558,35.06
J000170,2025-10-29,T027,G15,G01,12:45,12:45,0,A l'heure,247,59.69
J000171,2026-08-06,T008,G12,G13,15:54,15:54,0,A l'heure,342,77.05
J000172,2026-08-25,T026,G13,G04,18:30,18:30,0,A l'heure,184,34.0
J000173,2025-09-26,T034,G12,G13,10:42,10:43,1,Retarde,78,24.34
J000174,2026-05-02,T026,G09,G05,07:18,07:19,1,Retarde,267,42.45
J000175,2026-02-27,T008,G07,G03,11:12,11:16,4,Retarde,438,56.2
J000176,2026-07-16,T040,G02,G09,20:36,20:36,0,A l'heure,142,22.1
J000177,2026-04-30,T039,G15,G06,05:12,05:12,0,A l'heure,119,27.88
J000178,2025-10-13,T037,G10,G12,10:00,10:02,2,Retarde,110,22.57
J000179,2026-08-28,T018,G10,G06,06:12,06:12,0,A l'heure,403,44.0
J000180,2026-07-14,T027,G03,G14,07:42,08:26,44,Retarde,271,46.99
J000181,2025-11-18,T036,G06,G09,22:21,22:21,0,A l'heure,122,19.61
J000182,2025-10-03,T005,G03,G10,18:06,18:26,20,Retarde,408,53.83
J000183,2025-12-13,T009,G05,G03,22:45,22:45,0,A l'heure,259,73.93
J000184,2025-10-27,T015,G09,G04,21:00,21:00,0,A l'heure,392,34.43
J000185,2026-03-05,T009,G10,G15,19:48,19:52,4,Retarde,230,63.75
J000186,2026-08-12,T025,G07,G09,20:18,20:38,20,Retarde,276,50.26
J000187,2026-06-22,T018,G11,G03,09:42,09:42,0,A l'heure,279,24.8
J000188,2026-03-09,T022,G09,G11,05:24,05:24,0,A l'heure,249,33.11
J000189,2026-05-26,T003,G13,G07,15:15,15:15,0,A l'heure,473,76.39
J000190,2026-02-21,T012,G04,G08,17:00,17:03,3,Retarde,479,97.95
J000191,2025-12-20,T026,G03,G13,11:21,11:44,23,Retarde,276,63.35
J000192,2026-05-27,T002,G10,G06,13:21,13:21,0,A l'heure,304,62.33
J000193,2025-11-21,T030,G10,G06,21:42,21:42,0,A l'heure,114,17.25
J000194,2026-03-13,T014,G06,G04,08:48,09:00,12,Retarde,362,76.88
J000195,2025-11-30,T011,G03,G12,10:18,10:18,0,A l'heure,340,88.57
J000196,2026-06-01,T024,G02,G04,06:45,06:45,0,A l'heure,170,41.37
J000197,2026-01-04,T019,G15,G03,12:42,12:53,11,Retarde,462,37.06
J000198,2026-01-13,T035,G11,G04,21:15,21:20,5,Retarde,117,26.89
J000199,2026-02-08,T025,G15,G09,21:45,21:54,9,Retarde,243,51.64
J000200,2026-01-27,T020,G08,G13,13:30,13:30,0,A l'heure,558,27.44
J000201,2026-06-09,T034,G12,G03,22:36,22:43,7,Retarde,124,23.13
J000202,2026-01-04,T018,G13,G10,22:30,22:30,0,A l'heure,307,27.25
J000203,2025-09-22,T017,G09,G15,20:00,20:00,0,A l'heure,444,28.33
J000204,2025-10-22,T031,G10,G14,10:36,10:40,4,Retarde,89,18.21
J000205,2026-05-14,T018,G01,G07,09:45,10:04,19,Retarde,336,22.5
J000206,2026-08-29,T015,G11,G09,20:00,20:00,0,A l'heure,508,28.05
J000207,2025-10-28,T030,G06,G02,11:15,11:15,0,A l'heure,81,26.81
J000208,2026-05-10,T030,G03,G08,07:54,07:54,0,A l'heure,166,20.63
J000209,2026-08-20,T031,G11,G14,06:21,06:21,0,A l'heure,172,18.57
J000210,2026-07-29,T009,G07,G03,14:45,14:45,0,A l'heure,292,59.02
J000211,2026-08-06,T017,G01,G15,09:21,09:21,0,A l'heure,422,36.72
J000212,2025-11-16,T007,G12,G07,12:48,12:55,7,Retarde,395,111.67
J000213,2026-03-16,T025,G05,G08,18:30,18:50,20,Retarde,254,57.05
J000214,2026-05-30,T040,G02,G03,05:45,05:45,0,A l'heure,179,20.51
J000215,2026-03-04,T021,G05,G08,15:48,16:07,19,Retarde,418,37.59
J000216,2025-11-08,T032,G06,G04,11:45,11:50,5,Retarde,220,22.39
J000217,2025-09-26,T019,G05,G10,22:12,22:12,0,A l'heure,394,40.05
J000218,2026-08-24,T025,G10,G02,13:48,13:48,0,A l'heure,118,48.83
J000219,2026-08-13,T034,G05,G10,05:21,05:21,0,A l'heure,168,15.2
J000220,2026-07-13,T033,G07,G04,18:00,18:00,0,A l'heure,109,25.2
J000221,2025-11-21,T035,G08,G04,18:42,18:42,0,A l'heure,112,17.94
J000222,2025-09-10,T017,G12,G13,11:54,12:21,27,Retarde,390,33.07
J000223,2025-12-23,T026,G07,G02,08:00,08:16,16,Retarde,197,59.96
J000224,2026-08-03,T028,G13,G03,19:18,19:18,0,A l'heure,257,34.05
J000225,2025-10-03,T040,G02,G06,06:00,06:06,6,Retarde,128,27.1
J000226,2026-03-10,T018,G02,G05,21:42,21:42,0,A l'heure,237,26.2
J000227,2026-02-02,T011,G06,G12,07:42,07:44,2,Retarde,236,56.04
J000228,2025-12-22,T009,G04,G14,18:12,18:26,14,Retarde,252,67.07
J000229,2026-02-10,T025,G09,G05,15:12,15:12,0,A l'heure,162,51.15
J000230,2026-02-11,T031,G10,G09,05:21,05:21,0,A l'heure,97,25.1
J000231,2026-02-17,T034,G11,G04,14:00,14:00,0,A l'heure,164,27.76
J000232,2026-03-12,T039,G14,G11,16:30,16:30,0,A l'heure,130,21.33
J000233,2026-03-23,T020,G14,G08,13:54,13:54,0,A l'heure,464,24.53
J000234,2026-02-05,T026,G09,G14,11:45,11:46,1,Retarde,195,59.01
J000235,2025-11-11,T026,G03,G14,10:21,10:21,0,A l'heure,151,57.94
J000236,2026-06-03,T007,G09,G15,13:48,13:53,5,Retarde,295,65.67
J000237,2025-09-04,T040,G09,G15,22:06,22:06,0,A l'heure,152,17.34
J000238,2026-07-01,T027,G08,G06,09:15,09:15,0,A l'heure,157,57.95
J000239,2025-09-14,T011,G09,G12,10:36,10:36,0,A l'heure,383,84.22
J000240,2025-12-31,T033,G08,G11,12:18,12:18,0,A l'heure,78,20.83
J000241,2026-08-26,T031,G04,G01,14:12,14:12,0,A l'heure,135,18.36
J000242,2025-09-21,T001,G11,G01,21:30,21:30,0,A l'heure,397,96.07
J000243,2026-01-18,T018,G04,G07,06:21,06:22,1,Retarde,521,39.91
J000244,2025-11-14,T036,G11,G12,19:36,19:36,0,A l'heure,92,21.51
J000245,2026-06-09,T020,G08,G05,11:42,11:42,0,A l'heure,324,22.81
J000246,2026-04-24,T022,G05,G04,09:30,10:57,87,Fortement retarde,465,33.04
J000247,2025-11-05,T010,G09,G10,05:48,05:48,0,A l'heure,261,94.87
J000248,2025-11-13,T018,G04,G09,15:54,15:54,0,A l'heure,257,22.67
J000249,2025-11-11,T039,G13,G12,21:15,21:15,0,A l'heure,62,23.24
J000250,2026-01-31,T020,G14,G15,16:30,16:30,0,A l'heure,352,44.56
J000251,2026-05-22,T019,G03,G13,14:30,14:37,7,Retarde,437,27.32
J000252,2026-08-11,T024,G11,G05,14:42,14:42,0,A l'heure,201,56.29
J000253,2026-02-22,T025,G11,G04,21:06,21:22,16,Retarde,157,58.53
J000254,2025-09-27,T013,G13,G04,12:24,12:25,1,Retarde,317,90.9
J000255,2026-06-20,T018,G13,G05,22:15,22:15,0,A l'heure,395,29.41
J000256,2026-05-09,T008,G05,G10,07:00,07:00,0,A l'heure,334,84.58
J000257,2026-02-03,T012,G15,G08,05:36,05:36,0,A l'heure,150,52.72
J000258,2026-02-14,T014,G07,G09,10:21,10:22,1,Retarde,307,61.11
J000259,2026-07-09,T014,G09,G08,12:42,12:58,16,Retarde,369,91.72
J000260,2026-06-15,T031,G14,G02,14:36,14:40,4,Retarde,141,16.51
J000261,2025-11-09,T040,G06,G12,05:06,05:08,2,Retarde,217,24.42
J000262,2025-09-19,T009,G01,G07,18:54,18:54,0,A l'heure,245,74.03
J000263,2026-08-27,T021,G01,G14,22:54,22:54,0,A l'heure,227,28.66
J000264,2026-01-21,T035,G04,G07,10:24,10:29,5,Retarde,114,20.04
J000265,2026-02-16,T028,G08,G04,08:24,08:24,0,A l'heure,237,52.19
J000266,2026-01-10,T027,G07,G10,06:48,06:51,3,Retarde,193,36.32
J000267,2026-08-14,T005,G08,G15,09:36,09:36,0,A l'heure,258,83.54
J000268,2026-05-19,T017,G11,G03,17:54,17:54,0,A l'heure,403,34.34
J000269,2026-01-05,T025,G03,G11,05:00,05:00,0,A l'heure,129,37.7
J000270,2025-09-12,T033,G06,G13,11:15,11:15,0,A l'heure,129,19.28
J000271,2026-04-09,T004,G15,G05,05:12,05:46,34,Retarde,247,92.24
J000272,2026-07-06,T030,G03,G02,13:48,13:48,0,A l'heure,153,18.84
J000273,2026-08-05,T004,G14,G01,22:21,22:21,0,A l'heure,354,92.05
J000274,2026-04-08,T033,G11,G12,14:48,14:48,0,A l'heure,140,15.01
J000275,2026-08-21,T011,G07,G10,12:48,12:49,1,Retarde,354,69.05
J000276,2026-01-31,T003,G06,G12,13:15,13:15,0,A l'heure,510,93.63
J000277,2026-08-19,T033,G07,G08,09:36,10:52,76,Fortement retarde,135,16.85
J000278,2026-04-02,T013,G14,G04,10:15,10:19,4,Retarde,240,55.06
J000279,2025-09-05,T033,G09,G05,06:24,06:24,0,A l'heure,99,27.89
J000280,2025-11-07,T011,G08,G04,09:18,09:18,0,A l'heure,238,60.13
J000281,2026-06-06,T040,G10,G02,13:18,13:18,0,A l'heure,199,18.45
J000282,2026-08-12,T027,G13,G09,11:18,11:18,0,A l'heure,187,36.18
J000283,2026-02-22,T011,G08,G14,17:30,17:30,0,A l'heure,510,99.0
J000284,2026-08-13,T032,G07,G01,20:42,20:43,1,Retarde,193,22.14
J000285,2026-02-19,T003,G07,G05,11:30,11:30,0,A l'heure,282,84.6
J000286,2026-01-05,T010,G05,G04,17:24,17:26,2,Retarde,378,79.14
J000287,2026-01-07,T032,G02,G14,06:42,06:55,13,Retarde,186,22.49
J000288,2026-06-02,T029,G01,G07,05:24,05:24,0,A l'heure,130,23.22
J000289,2026-03-11,T034,G07,G12,20:00,20:00,0,A l'heure,199,23.74
J000290,2025-11-08,T001,G08,G01,21:18,21:18,0,A l'heure,287,112.9
J000291,2025-12-10,T008,G12,G10,10:12,10:16,4,Retarde,333,54.06
J000292,2025-09-16,T025,G14,G02,21:00,21:41,41,Retarde,238,45.18
J000293,2026-06-15,T013,G07,G13,14:30,14:30,0,A l'heure,113,56.09
J000294,2025-11-05,T001,G06,G07,18:18,18:18,0,A l'heure,279,77.81
J000295,2026-08-14,T002,G09,G14,06:00,06:00,0,A l'heure,76,62.87
J000296,2026-03-29,T006,G02,G06,12:24,12:24,0,A l'heure,451,68.09
J000297,2025-11-16,T028,G07,G11,20:45,20:45,0,A l'heure,275,37.38
J000298,2025-12-15,T038,G06,G08,05:42,05:42,0,A l'heure,102,15.68
J000299,2026-03-18,T003,G05,G01,20:42,20:42,0,A l'heure,258,77.42
J000300,2026-08-28,T036,G04,G01,12:06,12:07,1,Retarde,129,23.98
J000301,2026-06-30,T011,G13,G11,12:00,12:00,0,A l'heure,392,67.88
J000302,2026-01-12,T035,G12,G06,05:06,05:08,2,Retarde,160,26.61
J000303,2026-03-28,T007,G04,G02,05:06,05:41,35,Retarde,447,64.1
J000304,2026-06-03,T014,G01,G13,20:18,20:18,0,A l'heure,221,65.4
J000305,2026-01-21,T005,G06,G03,14:30,14:47,17,Retarde,205,64.86
J000306,2025-12-18,T030,G09,G08,20:18,20:29,11,Retarde,115,22.14
J000307,2026-01-21,T005,G08,G13,09:54,09:54,0,A l'heure,211,62.29
J000308,2025-10-06,T034,G08,G12,07:48,07:48,0,A l'heure,104,23.5
J000309,2026-07-23,T034,G12,G04,17:48,17:48,0,A l'heure,107,22.86
J000310,2026-02-07,T017,G09,G03,17:42,17:43,1,Retarde,485,38.16
J000311,2026-02-23,T002,G09,G12,12:48,12:48,0,A l'heure,370,85.36
J000312,2026-04-17,T032,G09,G05,22:24,22:24,0,A l'heure,137,21.99
J000313,2025-12-30,T028,G14,G15,06:21,06:21,0,A l'heure,261,48.44
J000314,2026-01-02,T012,G09,G15,18:21,18:39,18,Retarde,414,54.62
J000315,2025-10-29,T008,G03,G11,11:48,11:48,0,A l'heure,179,69.59
J000316,2026-01-18,T035,G14,G01,20:45,20:46,1,Retarde,125,23.22
J000317,2026-08-07,T037,G03,G01,20:36,20:36,0,A l'heure,154,21.58
J000318,2026-05-08,T026,G03,G08,18:54,19:02,8,Retarde,280,58.89
J000319,2026-07-19,T026,G01,G08,13:36,13:36,0,A l'heure,185,64.21
J000320,2025-11-22,T001,G15,G06,21:30,21:30,0,A l'heure,468,81.81
J000321,2026-02-06,T037,G10,G11,07:54,08:22,28,Retarde,60,23.6
J000322,2025-09-07,T022,G13,G08,05:54,05:54,0,A l'heure,453,26.08
J000323,2025-09-01,T021,G08,G12,12:24,12:24,0,A l'heure,367,44.13
J000324,2025-12-26,T025,G07,G05,21:15,21:26,11,Retarde,87,39.07
J000325,2025-11-26,T002,G08,G11,09:15,09:15,0,A l'heure,366,90.83
J000326,2026-04-09,T028,G07,G04,10:21,10:21,0,A l'heure,214,60.66
J000327,2026-04-22,T023,G06,G01,18:24,18:24,0,A l'heure,191,56.51
J000328,2026-08-05,T006,G14,G12,11:00,11:01,1,Retarde,290,75.15
J000329,2025-11-13,T007,G06,G13,13:06,13:31,25,Retarde,375,99.49
J000330,2026-01-27,T015,G08,G06,21:54,21:55,1,Retarde,442,39.28
J000331,2026-02-16,T006,G01,G07,16:45,16:53,8,Retarde,262,77.63
J000332,2025-12-08,T004,G04,G05,07:24,07:24,0,A l'heure,409,98.91
